,X,O,pred,diff
841,do,O,O,0
842,n't,O,O,0
843,know,O,O,0
844,how,O,O,0
845,that,O,O,0
846,works,O,O,0
847,live,O,O,0
848,in,O,O,0
850,?,O,O,0
851,WITWIAL,O,O,0
852,@USER1480,O,O,0
854,@USER1485,O,O,0
855,..,O,O,0
856,hey,O,O,0
857,no,O,O,0
858,shine,O,O,0
859,..,O,O,0
860,lol,O,O,0
861,jk,O,O,0
862,..,O,O,0
863,how,O,O,0
864,been,O,O,0
865,bro,O,O,0
866,?,O,O,0
867,@USER1493,O,O,0
869,and,O,O,0
871,are,O,O,0
872,together,O,O,0
873,.,O,O,0
874,>.>,O,O,0
875,@USER1558,O,O,0
876,yea,O,O,0
877,ik,O,O,0
878,",",O,O,0
879,just,O,O,0
880,for,O,O,0
881,me,O,O,0
882,hahaa,O,O,0
883,@USER1602,O,O,0
884,@USER1512,O,O,0
885,I,O,O,0
886,uploaded,O,O,0
887,/,O,O,0
888,uploading,O,O,0
889,remaining,O,O,0
890,albums,O,O,0
891,.,O,O,0
892,Muackszx,O,O,0
893,@USER1612,O,O,0
894,He,O,O,0
895,better,O,O,0
896,!!,O,O,0
897,We,O,O,0
898,buy,O,O,0
899,his,O,O,0
900,stuff,O,O,0
901,!,O,O,0
902,haha,O,O,0
903,@USER1651,O,O,0
904,with,O,O,0
905,there,O,O,0
906,boycotts,O,O,0
907,and,O,O,0
908,the,O,O,0
909,way,O,O,0
910,they,O,O,0
911,betrayed,O,O,0
912,the,O,O,0
913,country,O,O,0
914,in,O,O,0
915,ww1,O,O,0
916,they,O,O,0
917,were,O,O,0
918,right,O,O,0
919,in,O,O,0
920,there,O,O,0
921,assessment,O,O,0
922,@USER1676,O,O,0
923,.,O,O,0
924,Have,O,O,0
925,u,O,O,0
926,meet,O,O,0
928,yet,O,O,0
929,??,O,O,0
930,Lol,O,O,0
931,@USER1696,O,O,0
932,hey,O,O,0
933,girl,O,O,0
934,you,O,O,0
935,awake,O,O,0
936,??????,O,O,0
937,And,O,O,0
938,I,O,O,0
939,did,O,O,0
940,thanks,O,O,0
941,!,O,O,0
942,@USER1733,O,O,0
943,Thanks,O,O,0
944,for,O,O,0
945,the,O,O,0
946,#FF,O,O,0
947,!,O,O,0
948,@USER1756,O,O,0
949,nerp,O,O,0
950,!,O,O,0
951,Wish,O,O,0
952,I,O,O,0
953,could,O,O,0
954,@USER1763,O,O,0
955,thanks,O,O,0
956,:3,O,O,0
957,@USER1773,O,O,0
958,come,O,O,0
959,bring,O,O,0
960,me,O,O,0
961,lunch,O,O,0
962,!,O,O,0
963,@USER1774,O,O,0
964,>_>,O,O,0
965,ok,O,O,0
966,@USER1820,O,O,0
967,we,O,O,0
968,got,O,O,0
969,ta,O,O,0
970,test,O,O,0
971,guh,O,O,0
972,!,O,O,0
973,My,O,O,0
974,teacher,O,O,0
975,said,O,O,0
976,she,O,O,0
977,gne,O,O,0
978,strt,O,O,0
979,takin,O,O,0
980,off,O,O,0
981,points,O,O,0
982,if,O,O,0
983,we,O,O,0
984,late,O,O,0
985,on,O,O,0
986,test,O,O,0
987,dayz,O,O,0
988,....,O,O,0
989,@USER1969,O,O,0
990,Go,O,O,0
991,to,O,O,0
992,sleep,O,O,0
993,.,O,O,0
994,lol,O,O,0
995,@USER2055,O,O,0
996,perhaps,O,O,0
997,@USER2082,O,O,0
998,I,O,O,0
999,'m,O,O,0
1000,a,O,O,0
1001,big,O,O,0
1002,fan,O,O,0
1003,of,O,O,0
1004,yours,O,O,0
1005,and,O,O,0
1006,admire,O,O,0
1007,your,O,O,0
1008,work,O,O,0
1009,",",O,O,0
1010,follow,O,O,0
1011,me,O,O,0
1012,?,O,O,0
1013,[,O,O,0
1014,/35,O,O,0
1015,@USER2201,O,O,0
1016,@USER944,O,O,0
1017,they,O,O,0
1018,had,O,O,0
1019,their,O,O,0
1020,fun,O,O,0
1021,",",O,O,0
1022,we,O,O,0
1023,hd,O,O,0
1024,ours,O,O,0
1025,!,O,O,0
1026,;),O,O,0
1027,lmaooo,O,O,0
1028,@USER2243,O,O,0
1029,noo,O,O,0
1030,...,O,O,0
1031,Sostar,O,O,0
1032,!!!!,O,O,0
1033,@USER2257,O,O,0
1034,All,O,O,0
1035,my,O,O,0
1036,loving,O,O,0
1037,I,O,O,0
1038,will,O,O,0
1039,send,O,O,0
1040,to,O,O,0
1041,you,O,O,0
1042,♥,O,O,0
1043,@USER2294,O,O,0
1044,thanks,O,O,0
1045,.,O,O,0
1046,@USER2337,O,O,0
1047,Talking,O,O,0
1048,points,O,O,0
1049,?,O,O,0
1050,#RobFord,O,O,0
1051,has,O,O,0
1052,a,O,O,0
1053,new,O,O,0
1054,idea,O,O,0
1055,to,O,O,0
1056,bring,O,O,0
1057,to,O,O,0
1061,politics,O,O,0
1062,:,O,O,0
1063,saving,O,O,0
1064,money,O,O,0
1065,instead,O,O,0
1066,of,O,O,0
1067,wasting,O,O,0
1068,it,O,O,0
1069,.,O,O,0
1070,#voteto,O,O,0
1071,@USER2503,O,O,0
1072,Reportedly,O,O,0
1073,Testing,O,O,0
1074,All,O,O,0
1075,-,O,O,0
1077,Taco,O,O,0
1078,Shell,O,O,0
1079,URL204,O,O,0
1080,@USER2583,O,O,0
1081,I,O,O,0
1082,think,O,O,0
1083,I,O,O,0
1084,thought,O,O,0
1085,a,O,O,0
1086,ticket,O,O,0
1087,the,O,O,0
1088,other,O,O,0
1089,day,O,O,0
1090,-,O,O,0
1092,says,O,O,0
1093,Yes,O,O,0
1094,",",O,O,0
1096,'s,O,O,0
1097,never,O,O,0
1098,heard,O,O,0
1099,of,O,O,0
1100,me,O,O,0
1101,.,O,O,0
1102,Can,O,O,0
1103,you,O,O,0
1104,confirm,O,O,0
1105,success,O,O,0
1106,/,O,O,0
1107,fail,O,O,0
1108,status,O,O,0
1109,?,O,O,0
1110,@USER2589,O,O,0
1111,where,O,O,0
1112,are,O,O,0
1113,you,O,O,0
1114,@USER2626,O,O,0
1115,swag,O,O,0
1116,A,O,O,0
1117,woman,O,O,0
1118,dat,O,O,0
1119,wants,O,O,0
1120,me,O,O,0
1121,fa,O,O,0
1122,me,O,O,0
1123,....,O,O,0
1124,dat,O,O,0
1125,s,O,O,0
1126,all,O,O,0
1127,I,O,O,0
1128,ask,O,O,0
1129,for,O,O,0
1130,.,O,O,0
1131,Amateur,O,O,0
1132,Radio,O,O,0
1133,–,O,O,0
1136,interview,O,O,0
1137,and,O,O,0
1138,audio,O,O,0
1139,|,O,O,0
1140,Survival,O,O,0
1141,Kits,O,O,0
1142,URL49,O,O,0
1143,Ambitious,O,O,0
1144,young,O,O,0
1146,are,O,O,0
1147,quitting,O,O,0
1148,their,O,O,0
1149,country,O,O,0
1150,in,O,O,0
1151,droves,O,O,0
1152,",",O,O,0
1153,leaving,O,O,0
1154,power,O,O,0
1155,in,O,O,0
1156,the,O,O,0
1157,hands,O,O,0
1158,of,O,O,0
1159,an,O,O,0
1160,elderly,O,O,0
1161,elite,O,O,0
1162,.,O,O,0
1163,URL111,O,O,0
1164,#tsunami,O,O,0
1165,Be,O,O,0
1166,ready,O,O,0
1167,for,O,O,0
1168,anything,O,O,0
1169,because,O,O,0
1170,anything,O,O,0
1171,goes,O,O,0
1172,with,O,O,0
1173,me,O,O,0
1174,.,O,O,0
1175,Check,O,O,0
1176,out,O,O,0
1177,URL79,O,O,0
1178,#match,O,O,0
1179,#sex,O,O,0
1180,#real,O,O,0
1182,and,O,O,0
1184,are,O,O,0
1185,my,O,O,0
1186,new,O,O,0
1187,best,O,O,0
1188,friends,O,O,0
1189,at,O,O,0
1190,work,O,O,0
1191,!,O,O,0
1192,URL197,O,O,0
1193,Check,O,O,0
1194,out,O,O,0
1195,Cooking,O,O,0
1196,How,O,O,0
1197,-,O,O,0
1198,To,O,O,0
1199,:,O,O,0
1200,Homemade,O,O,0
1203,on,O,O,0
1204,Tales,O,O,0
1205,of,O,O,0
1206,a,O,O,0
1207,midwestern,O,O,0
1208,Housewife,O,O,0
1209,!,O,O,0
1210,URL15,O,O,0
1211,Cut,O,O,0
1212,it,O,O,0
1213,out,O,O,0
1215,...,O,O,0
1216,*,O,O,0
1217,talkin,O,O,0
1218,to,O,O,0
1219,myself,O,O,0
1220,*,O,O,0
1221,Deputy,O,O,0
1222,pulls,O,O,0
1223,over,O,O,0
1225,man,O,O,0
1226,",",O,O,0
1227,naked,O,O,0
1228,teen,O,O,0
1229,in,O,O,0
1230,backseat,O,O,0
1231,...,O,O,0
1232,URL201,O,O,0
1233,#fl,O,O,0
1234,#florida,O,O,0
1235,#oops,O,O,0
1236,#dumb,O,O,0
1237,#sex,O,O,0
1238,#dui,O,O,0
1239,#traffic,O,O,0
1240,#news,O,O,0
1241,#police,O,O,0
1242,Did,O,O,0
1243,I,O,O,0
1244,burn,O,O,0
1245,down,O,O,0
1246,the,O,O,0
1247,joint,O,O,0
1248,?,O,O,0
1249,I,O,O,0
1250,DO,O,O,0
1251,N'T,O,O,0
1252,THINK,O,O,0
1253,SO,O,O,0
1254,.,O,O,0
1255,I,O,O,0
1256,was,O,O,0
1257,makin,O,O,0
1258,ornaments,O,O,0
1259,out,O,O,0
1260,of,O,O,0
1261,fish,O,O,0
1262,hooks,O,O,0
1263,.,O,O,0
1264,Does,O,O,0
1265,it,O,O,0
1266,feel,O,O,0
1267,like,O,O,0
1268,Summer,O,O,0
1269,to,O,O,0
1270,you,O,O,0
1271,?,O,O,0
1272,It,O,O,0
1273,does,O,O,0
1274,in,O,O,0
1277,",",O,O,0
1280,it,O,O,0
1281,s,O,O,0
1282,85,O,O,0
1283,degrees,O,O,0
1284,Excellent,O,O,0
1285,article,O,O,0
1286,about,O,O,0
1289,founder,O,O,0
1291,inspired,O,O,0
1292,by,O,O,0
1294,philosophy,O,O,0
1295,to,O,O,0
1296,find,O,O,0
1297,business,O,O,0
1298,solutions,O,O,0
1299,URL48,O,O,0
1300,Excited,O,O,0
1301,for,O,O,0
1302,rough,O,O,0
1303,cut,O,O,0
1304,screening,O,O,0
1305,of,O,O,0
1306,@USER2147,O,O,0
1307,tonight,O,O,0
1308,.,O,O,0
1309,Then,O,O,0
1310,season,O,O,0
1311,premier,O,O,0
1312,of,O,O,0
1316,at,O,O,0
1319,.,O,O,0
1320,Yessirr,O,O,0
1321,.,O,O,0
1322,Facing,O,O,0
1323,difficulties,O,O,0
1324,in,O,O,0
1325,serving,O,O,0
1326,elder,O,O,0
1327,family,O,O,0
1328,member,O,O,0
1329,get,O,O,0
1330,assistance,O,O,0
1331,from,O,O,0
1332,respite,O,O,0
1333,care,O,O,0
1334,service,O,O,0
1335,and,O,O,0
