X,O,pred,diff
!,O,O,0
;,O,O,0
idk,O,O,0
why,O,O,0
...,O,O,0
but,O,O,0
ifeel,O,O,0
like,O,O,0
talkin,O,O,0
dirty,O,O,0
O_o,O,O,0
@,O,O,0
troy,PER,PER,0
smith,PER,PER,0
is,O,O,0
about,O,O,0
to,O,O,0
finish,O,O,0
the,O,O,0
rest,O,O,0
of,O,O,0
the,O,O,0
season,O,O,0
for,O,O,0
the,O,O,0
49ers,ORG,ORG,0
...,O,O,0
he,O,O,0
's,O,O,0
gon,O,O,0
na,O,O,0
get,O,O,0
them,O,O,0
a,O,O,0
win,O,O,0
this,O,O,0
week,O,O,0
@USER90,O,O,0
NBC,ORG,ORG,0
is,O,O,0
going,O,O,0
to,O,O,0
have,O,O,0
the,O,O,0
NYC,LOC,LOC,0
fireworks,O,O,0
on,O,O,0
.,O,O,0
They,O,O,0
are,O,O,0
amazing,O,O,0
-,O,O,0
at,O,O,0
least,O,O,0
in,O,O,0
person,O,O,0
they,O,O,0
were,O,O,0
two,O,O,0
years,O,O,0
ago,O,O,0
.,O,O,0
@USER153,O,O,0
I,O,O,0
'm,O,O,0
scoopin,O,O,0
Jo,PER,O,1
right,O,O,0
now,O,O,0
@USER272,O,O,0
I,O,O,0
'm,O,O,0
from,O,O,0
england,LOC,LOC,0
.,O,O,0
Where,O,O,0
's,O,O,0
missiuri,LOC,O,1
?,O,O,0
@USER288,O,O,0
i,O,O,0
did,O,O,0
tooo,O,O,0
!,O,O,0
this,O,O,0
is,O,O,0
getting,O,O,0
goood,O,O,0
.,O,O,0
lol,O,O,0
@USER312,O,O,0
well,O,O,0
I,O,O,0
'm,O,O,0
fuckn,O,O,0
amazin,O,O,0
..,O,O,0
lol,O,O,0
...,O,O,0
tottaly,O,O,0
awsome,O,O,0
who,O,O,0
's,O,O,0
bad,O,O,0
now,O,O,0
lol,O,O,0
@USER349,O,O,0
I,O,O,0
already,O,O,0
have,O,O,0
sis,O,O,0
!!!,O,O,0
Girl,O,O,0
they,O,O,0
hate,O,O,0
me,O,O,0
!,O,O,0
@USER355,O,O,0
yea,O,O,0
I,O,O,0
was,O,O,0
wondering,O,O,0
if,O,O,0
after,O,O,0
they,O,O,0
banned,O,O,0
the,O,O,0
indian,MISC,O,1
we,O,O,0
got,O,O,0
a,O,O,0
new,O,O,0
one,O,O,0
@USER357,O,O,0
:D,O,O,0
@USER367,O,O,0
lmbo,O,O,0
@USER403,O,O,0
the,O,O,0
one,O,O,0
you,O,O,0
said,O,O,0
you,O,O,0
was,O,O,0
gon,O,O,0
na,O,O,0
make,O,O,0
.,O,O,0
the,O,O,0
one,O,O,0
i,O,O,0
bought,O,O,0
everything,O,O,0
for,O,O,0
and,O,O,0
have,O,O,0
been,O,O,0
waiting,O,O,0
for,O,O,0
?,O,O,0
@USER446,O,O,0
how,O,O,0
??!,O,O,0
@USER447,O,O,0
miss,O,O,0
yhuuuu,O,O,0
!,O,O,0
@USER547,O,O,0
that,O,O,0
is,O,O,0
the,O,O,0
most,O,O,0
stunning,O,O,0
creature,O,O,0
I,O,O,0
have,O,O,0
ever,O,O,0
seen,O,O,0
@USER600,O,O,0
Yeah,O,O,0
I,O,O,0
m,O,O,0
goodie,O,O,0
just,O,O,0
in,O,O,0
the,O,O,0
lab,O,O,0
working,O,O,0
...,O,O,0
Wow,O,O,0
!,O,O,0
I,O,O,0
need,O,O,0
to,O,O,0
be,O,O,0
where,O,O,0
you,O,O,0
at,O,O,0
!,O,O,0
lol,O,O,0
let,O,O,0
me,O,O,0
visit,O,O,0
@USER678,O,O,0
that,O,O,0
's,O,O,0
a,O,O,0
tight,O,O,0
score,O,O,0
.,O,O,0
@USER688,O,O,0
I,O,O,0
hear,O,O,0
enough,O,O,0
talking,O,O,0
",",O,O,0
just,O,O,0
turn,O,O,0
round,O,O,0
keep,O,O,0
walking,O,O,0
haha,O,O,0
in,O,O,0
that,O,O,0
part,O,O,0
@USER771,O,O,0
that,O,O,0
's,O,O,0
ladybug,O,O,0
@USER842,O,O,0
hi,O,O,0
",",O,O,0
how,O,O,0
are,O,O,0
you,O,O,0
good,O,O,0
?,O,O,0
URL142,O,O,0
@USER915,O,O,0
oh,O,O,0
nasty,O,O,0
perv,O,O,0
lol,O,O,0
@USER935,O,O,0
aight,O,O,0
leaving,O,O,0
my,O,O,0
crib,O,O,0
in,O,O,0
20,O,O,0
minutes,O,O,0
@USER1007,O,O,0
has,O,O,0
no,O,O,0
sense,O,O,0
!!!,O,O,0
LOL,O,O,0
@USER1022,O,O,0
I,O,O,0
had,O,O,0
potted,O,O,0
shrimp,O,O,0
last,O,O,0
night,O,O,0
.,O,O,0
Except,O,O,0
someone,O,O,0
else,O,O,0
ordered,O,O,0
it,O,O,0
&,O,O,0
I,O,O,0
could,O,O,0
n't,O,O,0
work,O,O,0
out,O,O,0
why,O,O,0
we,O,O,0
had,O,O,0
creme,O,O,0
brulee,O,O,0
for,O,O,0
a,O,O,0
starter,O,O,0
...,O,O,0
@USER1031,O,O,0
lol,O,O,0
you,O,O,0
're,O,O,0
lame,O,O,0
;),O,O,0
@USER1039,O,O,0
benadryl,O,O,0
is,O,O,0
your,O,O,0
friend,O,O,0
lol,O,O,0
@USER1074,O,O,0
@USER2632,O,O,0
@USER1318,O,O,0
@USER1108,O,O,0
can,O,O,0
i,O,O,0
have,O,O,0
your,O,O,0
email,O,O,0
so,O,O,0
i,O,O,0
can,O,O,0
invite,O,O,0
you,O,O,0
to,O,O,0
a,O,O,0
sample,O,O,0
sale,O,O,0
@USER1094,O,O,0
*,O,O,0
jumps,O,O,0
down,O,O,0
walking,O,O,0
over,O,O,0
to,O,O,0
you,O,O,0
singing,O,O,0
*,O,O,0
Why,O,O,0
do,O,O,0
you,O,O,0
do,O,O,0
what,O,O,0
you,O,O,0
do,O,O,0
to,O,O,0
me,O,O,0
?,O,O,0
Yea,O,O,0
!,O,O,0
Why,O,O,0
wo,O,O,0
n't,O,O,0
you,O,O,0
answer,O,O,0
me,O,O,0
answer,O,O,0
me,O,O,0
!,O,O,0
Yea,O,O,0
!,O,O,0
@USER1144,O,O,0
right,O,O,0
back,O,O,0
atcha,O,O,0
bro,O,O,0
:),O,O,0
@USER1163,O,O,0
haha,O,O,0
u,O,O,0
wish,O,O,0
!,O,O,0
Just,O,O,0
wait,O,O,0
for,O,O,0
me,O,O,0
to,O,O,0
fins,O,O,0
a,O,O,0
cool,O,O,0
name,O,O,0
tht,O,O,0
has,O,O,0
darren,PER,PER,0
+,O,O,0
loewe,PER,O,1
in,O,O,0
it,O,O,0
lol,O,O,0
(,O,O,0
everything,O,O,0
sounds,O,O,0
bad,O,O,0
:(,O,O,0
),O,O,0
@USER1255,O,O,0
Not,O,O,0
as,O,O,0
bent,O,O,0
as,O,O,0
my,O,O,0
finger,O,O,0
!,O,O,0
It,O,O,0
looks,O,O,0
freaky,O,O,0
!,O,O,0
@USER1286,O,O,0
@USER2183,O,O,0
nigga,O,O,0
u,O,O,0
quit,O,O,0
to,O,O,0
@USER1290,O,O,0
give,O,O,0
him,O,O,0
my,O,O,0
love,O,O,0
!,O,O,0
@USER1369,O,O,0
@USER2166,O,O,0
Woooooooow,O,O,0
@USER1381,O,O,0
of,O,O,0
course,O,O,0
she,O,O,0
is,O,O,0
lol,O,O,0
@USER1435,O,O,0
ha,O,O,0
!,O,O,0
I,O,O,0
'm,O,O,0
gon,O,O,0
na,O,O,0
go,O,O,0
with,O,O,0
yes,O,O,0
@USER1439,O,O,0
I,O,O,0
'M,O,O,0
on,O,O,0
east,LOC,LOC,0
coast,LOC,LOC,0
and,O,O,0
their,O,O,0
on,O,O,0
.,O,O,0
do,O,O,0
n't,O,O,0
know,O,O,0
how,O,O,0
that,O,O,0
works,O,O,0
live,O,O,0
in,O,O,0
CA.,LOC,LOC,0
?,O,O,0
WITWIAL,O,O,0
@USER1480,O,O,0
china,LOC,O,1
@USER1485,O,O,0
..,O,O,0
hey,O,O,0
no,O,O,0
shine,O,O,0
..,O,O,0
lol,O,O,0
jk,O,O,0
..,O,O,0
how,O,O,0
been,O,O,0
bro,O,O,0
?,O,O,0
@USER1493,O,O,0
Key,PER,PER,0
and,O,O,0
Jjong,PER,PER,0
are,O,O,0
together,O,O,0
.,O,O,0
>.>,O,O,0
@USER1558,O,O,0
yea,O,O,0
ik,O,O,0
",",O,O,0
just,O,O,0
for,O,O,0
me,O,O,0
hahaa,O,O,0
@USER1602,O,O,0
@USER1512,O,O,0
I,O,O,0
uploaded,O,O,0
/,O,O,0
uploading,O,O,0
remaining,O,O,0
albums,O,O,0
.,O,O,0
Muackszx,O,O,0
@USER1612,O,O,0
He,O,O,0
better,O,O,0
!!,O,O,0
We,O,O,0
buy,O,O,0
his,O,O,0
stuff,O,O,0
!,O,O,0
haha,O,O,0
@USER1651,O,O,0
with,O,O,0
there,O,O,0
boycotts,O,O,0
and,O,O,0
the,O,O,0
way,O,O,0
they,O,O,0
betrayed,O,O,0
the,O,O,0
country,O,O,0
in,O,O,0
ww1,O,O,0
they,O,O,0
were,O,O,0
right,O,O,0
in,O,O,0
there,O,O,0
assessment,O,O,0
@USER1676,O,O,0
.,O,O,0
Have,O,O,0
u,O,O,0
meet,O,O,0
norway,LOC,LOC,0
yet,O,O,0
??,O,O,0
Lol,O,O,0
@USER1696,O,O,0
hey,O,O,0
girl,O,O,0
you,O,O,0
awake,O,O,0
??????,O,O,0
And,O,O,0
I,O,O,0
did,O,O,0
thanks,O,O,0
!,O,O,0
@USER1733,O,O,0
Thanks,O,O,0
for,O,O,0
the,O,O,0
#FF,O,O,0
!,O,O,0
@USER1756,O,O,0
nerp,O,O,0
!,O,O,0
Wish,O,O,0
I,O,O,0
could,O,O,0
@USER1763,O,O,0
thanks,O,O,0
:3,O,O,0
@USER1773,O,O,0
come,O,O,0
bring,O,O,0
me,O,O,0
lunch,O,O,0
!,O,O,0
@USER1774,O,O,0
>_>,O,O,0
ok,O,O,0
@USER1820,O,O,0
we,O,O,0
got,O,O,0
ta,O,O,0
test,O,O,0
guh,O,O,0
!,O,O,0
My,O,O,0
teacher,O,O,0
said,O,O,0
she,O,O,0
gne,O,O,0
strt,O,O,0
takin,O,O,0
off,O,O,0
points,O,O,0
if,O,O,0
we,O,O,0
late,O,O,0
on,O,O,0
test,O,O,0
dayz,O,O,0
....,O,O,0
@USER1969,O,O,0
Go,O,O,0
to,O,O,0
sleep,O,O,0
.,O,O,0
lol,O,O,0
@USER2055,O,O,0
perhaps,O,O,0
@USER2082,O,O,0
I,O,O,0
'm,O,O,0
a,O,O,0
big,O,O,0
fan,O,O,0
of,O,O,0
yours,O,O,0
and,O,O,0
admire,O,O,0
your,O,O,0
work,O,O,0
",",O,O,0
follow,O,O,0
me,O,O,0
?,O,O,0
[,O,O,0
/35,O,O,0
@USER2201,O,O,0
@USER944,O,O,0
they,O,O,0
had,O,O,0
their,O,O,0
fun,O,O,0
",",O,O,0
we,O,O,0
hd,O,O,0
ours,O,O,0
!,O,O,0
;),O,O,0
lmaooo,O,O,0
@USER2243,O,O,0
noo,O,O,0
...,O,O,0
Sostar,O,O,0
!!!!,O,O,0
@USER2257,O,O,0
All,O,O,0
my,O,O,0
loving,O,O,0
I,O,O,0
will,O,O,0
send,O,O,0
to,O,O,0
you,O,O,0
♥,O,O,0
@USER2294,O,O,0
thanks,O,O,0
.,O,O,0
@USER2337,O,O,0
Talking,O,O,0
points,O,O,0
?,O,O,0
#RobFord,O,O,0
has,O,O,0
a,O,O,0
new,O,O,0
idea,O,O,0
to,O,O,0
bring,O,O,0
to,O,O,0
City,O,LOC,1
of,O,LOC,1
Toronto,LOC,LOC,0
politics,O,O,0
:,O,O,0
saving,O,O,0
money,O,O,0
instead,O,O,0
of,O,O,0
wasting,O,O,0
it,O,O,0
.,O,O,0
#voteto,O,O,0
@USER2503,O,O,0
Reportedly,O,O,0
Testing,O,O,0
All,O,O,0
-,O,O,0
Dorito,ORG,O,1
Taco,O,O,0
Shell,O,O,0
URL204,O,O,0
@USER2583,O,O,0
I,O,O,0
think,O,O,0
I,O,O,0
thought,O,O,0
a,O,O,0
ticket,O,O,0
the,O,O,0
other,O,O,0
day,O,O,0
-,O,O,0
PayPal,ORG,ORG,0
says,O,O,0
Yes,O,O,0
",",O,O,0
Eventbrite,ORG,PER,1
's,O,O,0
never,O,O,0
heard,O,O,0
of,O,O,0
me,O,O,0
.,O,O,0
Can,O,O,0
you,O,O,0
confirm,O,O,0
success,O,O,0
/,O,O,0
fail,O,O,0
status,O,O,0
?,O,O,0
@USER2589,O,O,0
where,O,O,0
are,O,O,0
you,O,O,0
@USER2626,O,O,0
swag,O,O,0
A,O,O,0
woman,O,O,0
dat,O,O,0
wants,O,O,0
me,O,O,0
fa,O,O,0
me,O,O,0
....,O,O,0
dat,O,O,0
s,O,O,0
all,O,O,0
I,O,O,0
ask,O,O,0
for,O,O,0
.,O,O,0
Amateur,O,O,0
Radio,O,O,0
–,O,O,0
Hurricane,MISC,PER,1
Katrina,MISC,PER,1
interview,O,O,0
and,O,O,0
audio,O,O,0
|,O,O,0
Survival,O,O,0
Kits,O,O,0
URL49,O,O,0
Ambitious,O,O,0
young,O,O,0
Italians,MISC,O,1
are,O,O,0
quitting,O,O,0
their,O,O,0
country,O,O,0
in,O,O,0
droves,O,O,0
",",O,O,0
leaving,O,O,0
power,O,O,0
in,O,O,0
the,O,O,0
hands,O,O,0
of,O,O,0
an,O,O,0
elderly,O,O,0
elite,O,O,0
.,O,O,0
URL111,O,O,0
#tsunami,O,O,0
Be,O,O,0
ready,O,O,0
for,O,O,0
anything,O,O,0
because,O,O,0
anything,O,O,0
goes,O,O,0
with,O,O,0
me,O,O,0
.,O,O,0
Check,O,O,0
out,O,O,0
URL79,O,O,0
#match,O,O,0
#sex,O,O,0
#real,O,O,0
Bob,PER,PER,0
and,O,O,0
Larry,PER,PER,0
are,O,O,0
my,O,O,0
new,O,O,0
best,O,O,0
friends,O,O,0
at,O,O,0
work,O,O,0
!,O,O,0
URL197,O,O,0
Check,O,O,0
out,O,O,0
Cooking,O,O,0
How,O,O,0
-,O,O,0
To,O,O,0
:,O,O,0
Homemade,O,O,0
Frisco,O,MISC,1
Melts,O,MISC,1
on,O,O,0
Tales,O,O,0
of,O,O,0
a,O,O,0
midwestern,O,O,0
Housewife,O,O,0
!,O,O,0
URL15,O,O,0
Cut,O,O,0
it,O,O,0
out,O,O,0
joey,PER,PER,0
...,O,O,0
*,O,O,0
talkin,O,O,0
to,O,O,0
myself,O,O,0
*,O,O,0
Deputy,O,O,0
pulls,O,O,0
over,O,O,0
FL,LOC,LOC,0
man,O,O,0
",",O,O,0
naked,O,O,0
teen,O,O,0
in,O,O,0
backseat,O,O,0
...,O,O,0
URL201,O,O,0
#fl,O,O,0
#florida,O,O,0
#oops,O,O,0
#dumb,O,O,0
#sex,O,O,0
#dui,O,O,0
#traffic,O,O,0
#news,O,O,0
#police,O,O,0
Did,O,O,0
I,O,O,0
burn,O,O,0
down,O,O,0
the,O,O,0
joint,O,O,0
?,O,O,0
I,O,O,0
DO,O,O,0
N'T,O,O,0
THINK,O,O,0
SO,O,O,0
.,O,O,0
I,O,O,0
was,O,O,0
makin,O,O,0
ornaments,O,O,0
out,O,O,0
of,O,O,0
fish,O,O,0
hooks,O,O,0
.,O,O,0
Does,O,O,0
it,O,O,0
feel,O,O,0
like,O,O,0
Summer,O,O,0
to,O,O,0
you,O,O,0
?,O,O,0
It,O,O,0
does,O,O,0
in,O,O,0
Myrtle,LOC,LOC,0
Beach,LOC,LOC,0
",",O,O,0
South,LOC,LOC,0
Carolina,LOC,LOC,0
it,O,O,0
s,O,O,0
85,O,O,0
degrees,O,O,0
Excellent,O,O,0
article,O,O,0
about,O,O,0
Intelligent,ORG,O,1
Management,ORG,O,1
founder,O,O,0
Lepore,PER,PER,0
inspired,O,O,0
by,O,O,0
Jewish,MISC,MISC,0
philosophy,O,O,0
to,O,O,0
find,O,O,0
business,O,O,0
solutions,O,O,0
URL48,O,O,0
Excited,O,O,0
for,O,O,0
rough,O,O,0
cut,O,O,0
screening,O,O,0
of,O,O,0
@USER2147,O,O,0
tonight,O,O,0
.,O,O,0
Then,O,O,0
season,O,O,0
premier,O,O,0
of,O,O,0
Friday,MISC,MISC,0
Night,MISC,MISC,0
Lights,MISC,MISC,0
at,O,O,0
the,O,LOC,1
Man-sion,LOC,LOC,0
.,O,O,0
Yessirr,O,O,0
.,O,O,0
Facing,O,O,0
difficulties,O,O,0
in,O,O,0
serving,O,O,0
elder,O,O,0
family,O,O,0
member,O,O,0
get,O,O,0
assistance,O,O,0
from,O,O,0
respite,O,O,0
care,O,O,0
service,O,O,0
and,O,O,0
live,O,O,0
life,O,O,0
peacefully,O,O,0
.,O,O,0
URL88,O,O,0
Figurative,O,O,0
speech,O,O,0
#Englishmajors,O,O,0
help,O,O,0
me,O,O,0
out,O,O,0
:,O,O,0
"""",O,O,0
Twenty,O,O,0
sails,O,O,0
came,O,O,0
into,O,O,0
the,O,O,0
harbor,O,O,0
"""",O,O,0
is,O,O,0
an,O,O,0
example,O,O,0
of,O,O,0
_____________,O,O,0
?,O,O,0
What,O,O,0
figurative,O,O,0
type,O,O,0
?,O,O,0
Forgiveness,O,O,0
can,O,O,0
not,O,O,0
be,O,O,0
given,O,O,0
for,O,O,0
those,O,O,0
who,O,O,0
choose,O,O,0
to,O,O,0
use,O,O,0
Comic,MISC,O,1
Sans,MISC,O,1
in,O,O,0
a,O,O,0
business,O,O,0
web,O,O,0
application,O,O,0
.,O,O,0
#ui,O,O,0
#fail,O,O,0
Good,O,O,0
Morning,O,O,0
Gothtober,O,O,0
#BLANKtober,O,O,0
Great,ORG,O,1
Gizmos,ORG,O,1
Indoor,O,O,0
Garden,O,O,0
Green,O,O,0
Pots,O,O,0
(,O,O,0
Green,O,O,0
),O,O,0
£,O,O,0
13.94,O,O,0
[,O,O,0
SAVE,O,O,0
£,O,O,0
6.05,O,O,0
],O,O,0
>>,O,O,0
URL13,O,O,0
#bargains,O,O,0
#deals,O,O,0
10.27.10,O,O,0
Guess,ORG,O,1
Who,ORG,O,1
"""",O,O,0
American,MISC,MISC,0
Woman,MISC,MISC,0
"""",O,O,0
Guhhh,O,O,0
deeeh,O,O,0
you,O,O,0
!,O,O,0
HIGHHHHHH,O,O,0
@USER1784,O,O,0
:),O,O,0
Had,O,O,0
Fun,O,O,0
",",O,O,0
Now,O,O,0
I,O,O,0
'm,O,O,0
Omw,O,O,0
To,O,O,0
My,O,O,0
Gma,O,O,0
House,O,O,0
For,O,O,0
Her,O,O,0
Birthday,O,O,0
Happy,O,O,0
Guys,O,O,0
Finish,O,O,0
Last,O,O,0
-,O,O,0
EmpowHER.com,O,O,0
URL156,O,O,0
vía,O,O,0
@USER1854,O,O,0
Happy,O,O,0
Main,O,O,0
Event,O,O,0
Day,O,O,0
!,O,O,0
GL,O,O,0
to,O,O,0
all,O,O,0
who,O,O,0
are,O,O,0
playing,O,O,0
on,O,O,0
Day,O,O,0
1A,O,O,0
.,O,O,0
Action,O,O,0
begins,O,O,0
at,O,O,0
3,O,O,0
ET,O,O,0
.,O,O,0
Have,O,O,0
#PR,O,O,0
pros,O,O,0
noticed,O,O,0
this,O,O,0
like,O,O,0
#HR,O,O,0
pros,O,O,0
have,O,O,0
?,O,O,0
RT,O,O,0
@USER885,O,O,0
:,O,O,0
Is,O,O,0
HR,O,O,0
morphing,O,O,0
into,O,O,0
PR,O,O,0
?,O,O,0
Read,O,O,0
and,O,O,0
comment,O,O,0
:,O,O,0
URL39,O,O,0
Having,O,O,0
lunch,O,O,0
at,O,O,0
lp,O,O,0
with,O,O,0
2,O,O,0
great,O,O,0
&,O,O,0
funny,O,O,0
people,O,O,0
@USER2359,O,O,0
&&,O,O,0
@USER2214,O,O,0
How,O,O,0
to,O,O,0
Find,O,O,0
And,O,O,0
Cultivate,O,O,0
Your,O,O,0
Passion,O,O,0
I,O,O,0
'd,O,O,0
like,O,O,0
to,O,O,0
take,O,O,0
this,O,O,0
over,O,O,0
",",O,O,0
",",O,O,0
what,O,O,0
I,O,O,0
'm,O,O,0
tryin',O,O,0
to,O,O,0
say,O,O,0
is,O,O,0
you,O,O,0
should,O,O,0
be,O,O,0
mine,O,O,0
..,O,O,0
I,O,O,0
'm,O,O,0
at,O,O,0
